catalogID,placeID,parentPlaceID,typeKeys,officialName,reading,aliases,prefecture,municipality,address,latitude,longitude,officialURL,sourceURL,capacity,status,selectionReason,verifiedAt,notes
entertainment,jp-tokyo-tokyo-dome,,dome|stadium|live_venue|landmark,東京ドーム,とうきょうどーむ,,東京都,文京区,東京都文京区後楽1-3-61,,,https://www.tokyo-dome.co.jp/dome/,https://www.tokyo-dome.co.jp/dome/about/,55000,open,最大55000人の多目的ドームで年間を通じて大規模イベントを開催,2026-07-21,野球時は約43500人。所在地は公式アクセス情報で確認
entertainment,jp-kanagawa-yokohama-arena,,arena|live_venue,横浜アリーナ,よこはまありーな,,神奈川県,横浜市港北区,神奈川県横浜市港北区新横浜3-10,,,https://www.yokohama-arena.co.jp/,https://www.yokohama-arena.co.jp/organizer/equipment/,17000,open,最大17000人でコンサート・スポーツ・展示会等に使われる多目的アリーナ,2026-07-21,住所は公式アクセスページで確認
entertainment,jp-hokkaido-daiwa-house-premist-dome,,dome|stadium|arena|live_venue,大和ハウス プレミストドーム,だいわはうすぷれみすとどーむ,札幌ドーム,北海道,札幌市豊平区,北海道札幌市豊平区羊ケ丘1番地,,,https://www.sapporo-dome.co.jp/,https://www.sapporo-dome.co.jp/dome/,53820,open,最大収容人数53820人でスポーツ・コンサート・展示会に利用される多目的ドーム,2026-07-21,旧来名称の札幌ドームを検索用別名として保持
entertainment,jp-saitama-gmo-arena-saitama,,arena|stadium|live_venue,GMOアリーナさいたま,じーえむおーありーなさいたま,さいたまスーパーアリーナ|SSA,埼玉県,さいたま市中央区,埼玉県さいたま市中央区新都心8番地,,,https://www.saitama-arena.co.jp/,https://www.saitama-arena.co.jp/business/layout_sizes/layout_sizes_stadium/,37000,open,スタジアムモードで約37000席を持つ大規模多目的アリーナ,2026-07-21,恒久的な施設名と従来愛称を検索用別名として保持
entertainment,jp-tokyo-nippon-budokan,,arena|martial_arts_hall|live_venue|landmark,日本武道館,にっぽんぶどうかん,,東京都,千代田区,東京都千代田区北の丸公園2-3,,,https://www.nipponbudokan.or.jp/,https://www.nipponbudokan.or.jp/pdf/shinkoujigyou/202301/r5_checklist.pdf,14501,open,公式開催資料で収容定員14501人を確認できる武道・文化・芸能の主要会場,2026-07-21,所在地は公式アクセスページでも確認
entertainment,jp-kanagawa-k-arena-yokohama,,arena|concert_hall|live_venue,Kアリーナ横浜,けーありーなよこはま,Ｋアリーナ横浜,神奈川県,横浜市西区,神奈川県横浜市西区みなとみらい6-2-14,,,https://k-arena.com/,https://k-arena.com/floor/,20033,open,座席数20033席の音楽特化型アリーナ,2026-07-21,所在地は公式アクセスページで確認
entertainment,jp-kanagawa-pia-arena-mm,,arena|concert_hall|live_venue,ぴあアリーナMM,ぴあありーなえむえむ,ぴあアリーナエムエム,神奈川県,横浜市西区,神奈川県横浜市西区みなとみらい3-2-2,,,https://pia-arena-mm.jp/,https://pia-arena-mm.jp/about/index.html,12141,open,最大12141人を収容する音楽向けアリーナ,2026-07-21,正式な読みを検索用別名にも保持
entertainment,jp-chiba-makuhari-event-hall,jp-chiba-makuhari-messe,arena|event_hall|live_venue,幕張イベントホール,まくはりいべんとほーる,,千葉県,千葉市美浜区,千葉県千葉市美浜区中瀬2-1,,,https://www.m-messe.co.jp/organizers/guide/eventhall/guide_eventhall?hl=ja,https://www.m-messe.co.jp/organizers/guide/eventhall/guide_eventhall?hl=ja,9000,open,最大約9000人を収容しコンサート・スポーツ等に利用されるイベントホール,2026-07-21,親施設は幕張メッセ。親レコードは後続バッチで追加予定
entertainment,jp-aichi-vantelin-dome-nagoya,,dome|stadium|arena|live_venue,バンテリンドーム ナゴヤ,ばんてりんどーむなごや,ナゴヤドーム,愛知県,名古屋市東区,愛知県名古屋市東区大幸南1-1-1,,,https://www.nagoya-dome.co.jp/,https://www.nagoya-dome.co.jp/aboutus/gaiyo.php,49185,open,2026年時点のアリーナ使用時最大収容人数49185人,2026-07-21,旧名称のナゴヤドームを検索用別名として保持
entertainment,jp-osaka-kyocera-dome-osaka,,dome|stadium|arena|live_venue,京セラドーム大阪,きょうせらどーむおおさか,大阪ドーム,大阪府,大阪市西区,大阪府大阪市西区千代崎3丁目中2-1,,,https://www.kyoceradome-osaka.jp/,https://www.kyoceradome-osaka.jp/use_guide/arena/,55000,open,最大収容可能人数55000人のスポーツ・コンサート対応ドーム,2026-07-21,旧名称の大阪ドームを検索用別名として保持
